INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Craig A Eberhard,MGT 103 - Product Marketing & Management,WI24,39,64.11,2.9,3.00,4.10,3.95,4.50
Kristine R Ehrich,MGT 103 - Product Marketing & Management,WI24,256,67.19,3.1,4.48,4.44,4.26,4.53
Burritt Demill,MGT 103 - Product Marketing & Management,WI24,88,94.32,3.27,5.20,4.24,3.99,4.39
Kenneth Walter Bates,MGT 103 - Product Marketing & Management,WI24,145,80.0,3.03,3.92,4.11,3.86,4.19
Craig A Eberhard,MGT 103 - Product Marketing & Management,FA23,136,77.21,2.88,5.95,4.11,3.90,4.29
Kristine R Ehrich,MGT 103 - Product Marketing & Management,FA23,175,26.86,3.12,6.00,4.85,4.68,4.79
Burritt Demill,MGT 103 - Product Marketing & Management,FA23,89,96.63,3.23,5.81,4.23,4.04,4.46
Kenneth Walter Bates,MGT 103 - Product Marketing & Management,FA23,169,92.9,2.98,5.56,3.99,3.68,4.06
Kristine R Ehrich,MGT 103 - Product Marketing & Management,S223,90,6.67,3.18,6.67,4.22,4.17,4.13
Craig A Eberhard,MGT 103 - Product Marketing & Management,S123,74,87.84,2.82,6.08,4.14,4.08,4.34
Craig A Eberhard,MGT 103 - Product Marketing & Management,SP23,60,61.67,2.92,5.00,4.58,4.42,4.58
